scenario,algo,algo_label,run_id,n_qos_flows,n_decisions,n_timing,throughput_mean,throughput_std,throughput_min,throughput_max,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,jitter_mean_ms,jitter_std_ms,jitter_p95_ms,packet_loss_mean,packet_loss_max,latency_mdev_mean,latency_pre_ms,latency_post_ms,jitter_pre_ms,jitter_post_ms,throughput_pre,throughput_post,loss_pre_pct,loss_post_pct,flow_setup_mean_ms,flow_setup_std_ms,flow_setup_p50_ms,flow_setup_p95_ms,flow_setup_p99_ms,flow_setup_max_ms,end_mape,end_jfi_c,n_flows
steady,iwrr,IWRR,14,11,0,0,3.1439454545454546,0.0007954415583355278,3.1435,3.1456,16.394545454545455,4.494688918348774,18.965,19.9115,19.999100000000002,0.0,0.0,0.0,0.06754545454545455,0.0743,0.0,16.394545454545455,16.394545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,iwrr,IWRR,15,11,0,0,3.1449363636363636,0.0009244162777372312,3.1435,3.1456,12.171363636363637,5.562355189534865,13.221,18.729999999999997,19.221999999999998,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,12.171363636363637,12.171363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,1,11,0,0,3.1443454545454546,0.0009427233277729259,3.1436,3.1456,15.087454545454545,5.172036279138737,17.588,19.5685,19.5841,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,15.087454545454545,15.087454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,2,11,0,0,3.144318181818182,0.0009734661594716449,3.1434,3.1455,16.336,3.1473342688694506,16.607,19.914,19.971600000000002,0.0,0.0,0.0,0.0607909090909091,0.0743,0.0,16.336,16.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,3,11,0,0,3.1441636363636367,0.000870945150136028,3.1436,3.1455,17.68990909090909,2.662181641231321,19.129,20.2695,20.2947,0.0,0.0,0.0,0.0607909090909091,0.0743,0.0,17.68990909090909,17.68990909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,4,11,0,0,3.144881818181818,0.0008874887963441509,3.1436,3.1456,14.535727272727273,4.81035855401464,14.493,19.685499999999998,19.752299999999998,0.0,0.0,0.0,0.033772727272727274,0.0743,0.0,14.535727272727273,14.535727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,5,11,0,0,3.144609090909091,0.001062501336897628,3.1435,3.1456,14.29418181818182,5.233307497523565,15.715,19.279,19.3598,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,14.29418181818182,14.29418181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,6,11,0,0,3.1450181818181817,0.0009119409869263834,3.1436,3.1456,14.049363636363637,4.542550765213908,13.434,19.685000000000002,19.974600000000002,0.0,0.0,0.0,0.04728181818181818,0.0743,0.0,14.049363636363637,14.049363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,7,11,0,0,3.1451636363636366,0.0007762380141074968,3.1435,3.1456,13.003636363636364,3.478186288073923,13.586,17.65,19.207600000000003,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,13.003636363636364,13.003636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
steady,wlc,WLC,8,11,0,0,3.144309090909091,0.0010044446679181036,3.1431,3.1456,15.258909090909091,8.223251515727164,17.059,26.576,31.724800000000005,0.0,0.0,0.0,0.05403636363636364,0.0743,0.0,15.258909090909091,15.258909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
